Date,1 Mo,2 Mo,3 Mo,4 Mo,6 Mo,1 Yr,2 Yr,3 Yr,5 Yr,7 Yr,10 Yr,20 Yr,30 Yr,β0_dsa,β1_dsa,β2_dsa,β3_dsa,tau0_dsa,tau1_dsa,residual_dsa
10/10/23,5.6,5.61,5.61,5.63,5.57,5.37,4.96,4.74,4.62,4.66,4.66,5.03,4.85,0.3808007593593945,-0.3335224771912312,-0.364899375328934,0.0338658278591748,872.5113479941906,1.6859344808667185,0.018591337017284368
10/6/23,5.59,5.6,5.63,5.64,5.59,5.43,5.08,4.87,4.75,4.79,4.78,5.13,4.95,0.3827625997837864,-0.33449838124430353,-0.3645488057416031,0.030671076282451422,863.1415988534413,1.8538283909189972,0.01929494210537982
10/5/23,5.57,5.59,5.61,5.62,5.56,5.39,5.03,4.82,4.68,4.73,4.72,5.06,4.89,0.13997683969716035,-0.08540955969945474,-0.14825775935466712,0.02977593828660733,246.27028924828744,0.07896443132858302,0.01886384786560817
10/4/23,5.56,5.58,5.61,5.62,5.57,5.42,5.05,4.85,4.72,4.75,4.73,5.05,4.87,0.3540557330495274,-0.3060517538318924,-0.34010378241816,0.031066314161494295,791.2261132988215,1.9186409875706913,0.01894900967711235
10/3/23,5.55,5.6,5.62,5.62,5.58,5.49,5.15,4.95,4.8,4.84,4.81,5.13,4.95,0.34320680614429033,-0.2945479843672235,-0.3269346474362508,0.029314618797887906,763.7548035590488,2.143019601024287,0.019501484029238476
10/2/23,5.56,5.6,5.62,5.62,5.58,5.49,5.12,4.88,4.72,4.73,4.69,5.0,4.81,0.3118148334268712,-0.26348448407742286,-0.30402060666221464,0.030709841689497384,684.2276633809687,2.1366229794821274,0.018985553537935424
9/29/23,5.55,5.6,5.55,5.61,5.53,5.46,5.03,4.8,4.6,4.61,4.59,4.92,4.73,0.26717091902465406,-0.21921774362891733,-0.26217574195558213,0.030811676036173866,595.9429959810527,1.9812919520679166,0.018351974708409453
9/28/23,5.56,5.61,5.56,5.61,5.53,5.46,5.04,4.83,4.62,4.63,4.59,4.9,4.71,0.2788842339847155,-0.23089347077781736,-0.2754183272905619,0.03110587276849648,609.5960641497932,1.9795968861883377,0.01840168004840467
9/27/23,5.54,5.59,5.58,5.62,5.53,5.49,5.1,4.89,4.67,4.69,4.61,4.91,4.73,0.27829040725079324,-0.23004313024205242,-0.274681693808007,0.030501320377340053,605.8355402990012,2.205738168105996,0.018630919124636155
9/26/23,5.54,5.58,5.58,5.61,5.53,5.45,5.04,4.84,4.62,4.62,4.56,4.86,4.7,1.7112413362996461,-1.6556728244207894,-1.468149095114967,-0.0568332109525303,3960.353507189988,141.22813935293493,0.018313869264376156
9/25/23,5.54,5.58,5.58,5.6,5.52,5.45,5.09,4.83,4.62,4.61,4.55,4.84,4.67,0.25954013969326994,-0.2115170142200975,-0.25857593419119906,0.030977004687679333,559.7627054441791,2.1210531945438085,0.01827826422984028
9/22/23,5.52,5.58,5.56,5.61,5.52,5.46,5.1,4.8,4.57,4.53,4.44,4.7,4.53,0.2257748144108272,-0.17787950437491162,-0.23020590650938316,0.03177454538724138,483.9534107321902,2.3177570466633624,0.017877564721764206
9/21/23,5.52,5.57,5.57,5.61,5.52,5.46,5.12,4.85,4.61,4.57,4.49,4.74,4.56,0.1778476170939043,-0.12227216080077252,-0.18317490121591573,-0.01829359290585157,343.921803256932,119.43213417509918,0.018072967049573035
9/20/23,5.53,5.57,5.56,5.61,5.51,5.47,5.12,4.82,4.52,4.46,4.35,4.57,4.4,0.17915446310486305,-0.12348512957290714,-0.20288116136919976,-0.012471273380659086,308.02044356028034,124.01010786194757,0.017580332136414994
9/19/23,5.53,5.56,5.54,5.59,5.51,5.45,5.08,4.79,4.51,4.47,4.37,4.6,4.43,0.17038028204974928,-0.11486900291918417,-0.19075924532374677,-0.01227656240172352,297.3078573663062,119.51750079366198,0.01752702938871416
9/18/23,5.53,5.56,5.55,5.6,5.51,5.44,5.05,4.74,4.46,4.41,4.32,4.57,4.4,0.2101680404780941,-0.16253766297958272,-0.22019351644166374,0.03246211849653382,440.36989406251024,2.274489842211275,0.01732308572425073
9/15/23,5.51,5.56,5.56,5.6,5.49,5.43,5.02,4.72,4.45,4.41,4.33,4.59,4.42,0.14633591179761551,-0.09083802397244489,-0.16950165760878277,-0.007445685207784852,245.93264579477523,107.51474140063368,0.0172822820426663
9/14/23,5.52,5.57,5.55,5.59,5.5,5.42,5.0,4.68,4.42,4.38,4.29,4.57,4.39,0.20888318245852788,-0.16143542261747199,-0.21886039683929656,0.032597130274348865,439.9611718283571,2.117460303173692,0.017134652044129138
