Date,1 Mo,2 Mo,3 Mo,4 Mo,6 Mo,1 Yr,2 Yr,3 Yr,5 Yr,7 Yr,10 Yr,20 Yr,30 Yr,β0_nss,β1_nss,β2_nss,β3_nss,tau0_nss,tau1_nss,residual_nss,β0_ns,β1_ns,β2_ns,tau_ns,residual_ns
5/9/22,0.51,0.73,0.92,,1.43,1.99,2.61,2.81,2.95,3.04,3.05,3.38,3.19,0.6660513891808256,-0.6451830298036801,-1.0152575163800373,0.3378529613081309,1244.2318960518412,1223.6870934337646,0.0011516036551211585,0.7497064707525597,-0.7316605078337337,-0.5619793095520229,1487.1978185573498,0.0007384675387738822
5/6/22,0.48,0.72,0.85,,1.41,2.08,2.72,2.94,3.06,3.13,3.12,3.43,3.23,0.392936625455936,-0.3790513815932956,1.2317307831948463,-1.3298895482523885,1325.0950005910595,1320.061510131866,0.0009719111591427968,0.5218035886107107,-0.5046703720520601,-0.3700654212734261,1054.6093001771792,0.0008548580942297501
5/5/22,0.49,0.71,0.85,,1.37,2.08,2.71,2.91,3.01,3.07,3.05,3.35,3.15,0.5266405217061341,-0.5112212711900771,-0.4206023867931924,0.03883586264002237,924.7990494978719,1354.4934818878114,0.0008998525174576878,0.5125595344299989,-0.49533467646576035,-0.3608017345794873,1351.1555580912473,0.0008110680211755817
5/4/22,0.49,0.74,0.89,,1.44,2.07,2.66,2.85,2.93,2.97,2.93,3.21,3.01,0.14547879401423724,-0.116879189610206,0.9264583188821429,-0.8621527865923264,1335.0402992978,1150.142436652955,0.0017454467035501351,0.5961309514968596,-0.5829165790385278,-0.34292327162281233,2009.687912489239,0.0008971145533239604
5/3/22,0.48,0.77,0.91,,1.45,2.16,2.78,2.95,3.01,3.03,2.97,3.21,3.03,0.6345189074862061,-0.6167456153772086,0.19277952261375333,-1.1041163115646933,719.511828775117,1184.9409319101662,0.0008832089825782487,0.7028095013887979,-0.6864019602903884,-0.4825960750306411,1640.2942518686332,0.0008213293999907875
5/2/22,0.41,0.71,0.9,,1.49,2.1,2.73,2.93,3.01,3.04,2.99,3.26,3.07,0.15759534171164885,-0.13792369175925195,0.6194320083129323,-0.8380812953357613,740.2225315738227,1034.4539362658902,0.0008028359627442112,0.6294464226746181,-0.6104169963532011,-0.4616671000376704,1316.3495143307175,0.0008677146052983586
4/29/22,0.37,0.73,0.85,,1.41,2.1,2.7,2.87,2.92,2.94,2.89,3.14,2.96,0.6943466071381724,-0.6772324798867886,-0.35193791656908263,-0.06731063246345068,2372.315751422884,780.9349751026131,0.0008885490107897028,0.25753347099094115,-0.2377369925780754,-0.08960536347794143,1590.4880249534947,0.0008067211256040405
4/28/22,0.37,0.71,0.82,,1.38,2.04,2.63,2.8,2.86,2.88,2.85,3.1,2.92,1.093367368749102,-1.0794862570375978,-1.2174562175316455,0.16160915996863456,1320.0262096069373,638.5097132932524,0.0008276077190242716,0.5108920256339666,-0.4922188114325455,-0.3457203343852582,1724.6414835977762,0.0007611384993668956
4/27/22,0.37,0.63,0.82,,1.39,1.97,2.58,2.75,2.81,2.84,2.82,3.08,2.91,0.6805816982565486,-0.6670518648679749,-0.9218843200058954,0.22211889395558876,813.1122080983282,413.7926032768693,0.0007678905876951153,1.2724706203005873,-1.2591167689598977,-0.9714803873307145,2174.0190192732157,0.000824104188126335
4/26/22,0.38,0.61,0.83,,1.4,1.99,2.54,2.72,2.79,2.8,2.77,3.03,2.86,1.1491340942570574,-1.1299214504750588,-1.4979016040359494,0.5096288980730892,1111.0017201559008,1062.3849572878732,0.0015886699032150462,0.4119118251111201,-0.39664874724387195,-0.2868593725278699,980.8924743825626,0.0007349342654123341
4/25/22,0.4,0.61,0.91,,1.42,2.03,2.63,2.79,2.84,2.85,2.81,3.06,2.88,0.7672264153576498,-0.7514099250842246,-1.9109010572053307,0.9823237112831513,946.3780802713138,729.4572687150189,0.000696962243259077,0.881593734254074,-0.8644975132251118,-0.8718783663197739,1198.0107972089893,0.001001088531636466
4/22/22,0.46,0.64,0.83,,1.34,2.06,2.72,2.88,2.94,2.95,2.9,3.14,2.95,0.3154236656886771,-0.3046824041223016,0.034999624582496516,-0.1429091973767343,1163.9431367724105,1264.6593823102178,0.0010720328195627867,-0.0024321080381372747,0.014196025874411858,0.09222968814476029,442.4242260213204,0.0009291882587554796
4/21/22,0.5,0.65,0.83,,1.32,2.01,2.68,2.87,2.96,2.96,2.9,3.12,2.94,0.8487883132618776,-0.8202504935807189,-0.5360823577293621,-0.2851264384030125,624.07955956717,382.3340894404922,0.0021551378174130523,0.5169319701420327,-0.4937589440539123,-0.326936990119575,2580.3342310526705,0.0010498544725647055
4/20/22,0.35,0.56,0.82,,1.29,1.93,2.6,2.79,2.87,2.88,2.85,3.08,2.9,0.5610386823930232,-0.5478395803634476,0.1805633534242825,-0.8743586119385474,606.0713734499498,775.1931694392979,0.000995722815629562,0.4934571288777658,-0.47728508049353713,-0.20287762683969943,1962.2923281499582,0.0007914315704825375
4/19/22,0.37,0.58,0.81,,1.28,1.94,2.61,2.81,2.91,2.95,2.93,3.19,3.01,0.6850053591789897,-0.6609447143948922,-0.6586904310972453,0.07132596480324567,1630.875389722389,1036.5007720919937,0.0012718254154506078,1.0334396589526236,-1.0197736288945922,-0.8980257169731438,1163.3799624455537,0.0009936862123517214
4/18/22,0.38,0.6,0.81,,1.27,1.84,2.46,2.68,2.79,2.85,2.85,3.12,2.95,0.6076339003608142,-0.5899312626604954,-0.46146688601754815,0.2353209708438505,-825.0460897037228,1023.7443510942888,0.0007628264972312102,1.0325442775901805,-1.0165503105439224,-0.9125618000368065,1413.7028858377616,0.0007620302051403775
4/14/22,0.37,0.57,0.79,,1.25,1.84,2.47,2.67,2.79,2.84,2.83,3.09,2.92,0.6276698129927477,-0.6153535286636821,-0.421392121685065,-0.08371016908558485,1220.754377457811,883.0399214479326,0.0010182087830168933,0.8227793958568711,-0.8089546018333192,-0.6627671127582409,797.395162010526,0.0016015334007232493
4/13/22,0.26,0.52,0.75,,1.2,1.78,2.37,2.57,2.66,2.71,2.7,2.97,2.81,-0.12148008992634024,0.1311915287047121,0.41919419874643815,0.08998997111942277,1111.9083402541912,853.8229502568162,0.001646276136999272,0.692032559475578,-0.6734838824740694,-0.4824487596478137,2567.854553197674,0.0007624101978338
4/12/22,0.21,0.52,0.74,,1.2,1.77,2.39,2.58,2.66,2.73,2.72,2.99,2.82,0.8497105498640315,-0.8339934490546057,-0.5506832858198654,-0.08218625212217616,1928.415535395979,1014.7527041871839,0.0007506450552903487,-0.0017910453169851903,0.01578438085945516,0.28863242848057674,1633.8638092708916,0.000682049202340524
4/11/22,0.22,0.54,0.77,,1.23,1.85,2.5,2.73,2.79,2.84,2.79,3.02,2.84,0.15620487639851288,-0.14175822744250682,-0.23725078196773564,0.24933815880557256,1464.6298036714747,1300.0165874260542,0.0007462781456253173,0.6760198106701657,-0.6563283472137719,-0.751770684828117,516.0536810508463,0.001441296444998117
4/8/22,0.2,0.49,0.7,,1.19,1.81,2.53,2.73,2.76,2.79,2.72,2.94,2.76,1.0751621957598072,-1.0514163458304384,-1.1580417971314148,-0.0019360332342618358,1460.6397642712986,477.38964193731806,0.0015409671231472646,0.4195792927587104,-0.40178506492460137,-0.35471609201594173,949.9661562850365,0.0008834543685320415
4/7/22,0.21,0.5,0.68,,1.15,1.78,2.47,2.66,2.7,2.73,2.66,2.87,2.69,0.3024341714244875,-0.2879547179010716,-0.3783581092291591,0.11508050295529271,868.6679956148732,1687.402906068494,0.0014108135392705739,0.33903404257313585,-0.32970956539297525,-0.14592915742461599,1840.0464230810123,0.00117612161376771
